itemid,mean,dev_std,min,max,sparse
15170,6.785557e-05, 7.710593e-05, 1.60777e-05, 0.00038618277, 0.996850012115338
15171,0, 0, 0, 0, 1
15172,8.045621e-05, 7.944328e-05, 1.8887315e-05, 0.0002762748, 0.9995638478313545
15173,0, 0, 0, 0, 1
15174,0, 0, 0, 0, 1
15175,0, 0, 0, 0, 1
15176,0, 0, 0, 0, 1
15177,0, 0, 0, 0, 1
15178,0, 0, 0, 0, 1
15179,3.1805193e-05, 1.8467463e-05, 1.8666613e-05, 5.7921963e-05, 0.9998546159437849
15180,0, 0, 0, 0, 1
15181,0.00011759901, 7.255995e-05, 3.8673516e-05, 0.00021667566, 0.9998061545917131
15182,3.8747647e-05, 0.0, 3.8747647e-05, 3.8747647e-05, 0.9999515386479283
15183,7.170405e-05, 7.9133104e-05, 1.8527391e-05, 0.0002948955, 0.9993700024230676
15184,4.83813e-05, 9.800988e-06, 3.858031e-05, 5.8182286e-05, 0.9999030772958566
15185,0.00023810804, 0.00030456696, 1.6386524e-06, 0.0022791598, 0.9814393021565302
15186,0, 0, 0, 0, 1
15187,0.00017821229, 0.00025827307, 2.651478e-07, 0.0016321352, 0.9773200872304337
15188,0, 0, 0, 0, 1
15189,0, 0, 0, 0, 1
15190,0, 0, 0, 0, 1
15191,0, 0, 0, 0, 1
15192,0, 0, 0, 0, 1
15193,0, 0, 0, 0, 1
15194,3.8655784e-05, 1.9911058e-05, 1.8744728e-05, 5.8566842e-05, 0.9999030772958566
15195,0, 0, 0, 0, 1
15196,7.8316996e-05, 0.0, 7.8316996e-05, 7.8316996e-05, 0.9999515386479283
15197,0, 0, 0, 0, 1
15198,0, 0, 0, 0, 1
15199,0, 0, 0, 0, 1
15200,0, 0, 0, 0, 1
15201,2.8789073e-05, 1.7183249e-05, 1.8828836e-05, 5.855127e-05, 0.9998061545917131
15202,0, 0, 0, 0, 1
15203,0, 0, 0, 0, 1
15204,0.00017084031, 0.00026585194, 1.0289251e-07, 0.0017707386, 0.9701962684758905
15205,0, 0, 0, 0, 1
15206,4.9808976e-05, 5.3763626e-05, 1.8542785e-05, 0.00017693492, 0.999660770535498
15207,0, 0, 0, 0, 1
15208,0, 0, 0, 0, 1
15209,0.00034339004, 0.00060949224, 3.2956837e-08, 0.0047431523, 0.9702931911800339
15210,0, 0, 0, 0, 1
15211,0, 0, 0, 0, 1
15212,0, 0, 0, 0, 1
15213,0, 0, 0, 0, 1
15214,4.5241013e-05, 3.1814012e-05, 1.7535227e-05, 0.00013584406, 0.9990792343106373
15215,0.00015591011, 0.00013201228, 1.645651e-05, 0.0005418225, 0.9964623212987642
15216,0, 0, 0, 0, 1
15217,0, 0, 0, 0, 1
15218,6.5908214e-05, 6.527558e-05, 1.6860331e-05, 0.0003321591, 0.9969953961715532
15219,0, 0, 0, 0, 1
15220,0, 0, 0, 0, 1
15221,0, 0, 0, 0, 1
15222,0, 0, 0, 0, 1
15223,0, 0, 0, 0, 1
15224,0, 0, 0, 0, 1
15225,0, 0, 0, 0, 1
15226,0, 0, 0, 0, 1
15227,0, 0, 0, 0, 1
15228,0.000100396, 9.88896e-05, 1.682059e-05, 0.00037162565, 0.997722316452629
15229,6.1270846e-05, 1.6149948e-05, 3.735777e-05, 7.62131e-05, 0.9998061545917131
15230,7.36255e-05, 4.6788497e-05, 1.5782996e-05, 0.00019254046, 0.99859462078992
15231,3.5635643e-05, 2.4900857e-05, 1.8319293e-05, 9.697774e-05, 0.9996123091834263
15232,5.7851736e-05, 4.385878e-05, 1.805511e-05, 0.000155987, 0.99859462078992
15233,0, 0, 0, 0, 1
15234,1.8880304e-05, 0.0, 1.8880304e-05, 1.8880304e-05, 0.9999515386479283
15235,8.30685e-05, 4.404837e-05, 1.8556295e-05, 0.00017595779, 0.9992730797189242
15236,0, 0, 0, 0, 1
15237,0, 0, 0, 0, 1
15238,4.1753487e-05, 2.2512646e-05, 1.8183182e-05, 7.6432414e-05, 0.9997576932396414
15239,4.9145656e-05, 2.884132e-05, 1.7217439e-05, 9.513536e-05, 0.9996123091834263
15240,0, 0, 0, 0, 1
15241,0.00025994933, 0.00027506135, 1.14967015e-05, 0.0013877309, 0.9942815604555367
15242,0, 0, 0, 0, 1
15243,0, 0, 0, 0, 1
15244,0, 0, 0, 0, 1
15245,0, 0, 0, 0, 1
15246,8.100671e-05, 4.2844676e-05, 1.8766588e-05, 0.00015715821, 0.999660770535498
15247,5.79921e-05, 4.2565545e-05, 1.854524e-05, 0.0001376099, 0.999127695662709
15248,5.7804355e-05, 6.2276704e-05, 1.2902669e-05, 0.000378146, 0.9969953961715532
15249,0, 0, 0, 0, 1
15250,6.4691725e-05, 3.7006943e-05, 3.8460756e-05, 0.00011702739, 0.9998546159437849
15251,0, 0, 0, 0, 1
15252,0, 0, 0, 0, 1
15253,0, 0, 0, 0, 1
15254,0, 0, 0, 0, 1
15255,3.8500486e-05, 2.2856666e-05, 1.8590503e-05, 7.8048644e-05, 0.9997092318875697
15256,0, 0, 0, 0, 1
15257,4.789382e-05, 2.4899851e-05, 1.8833249e-05, 9.804508e-05, 0.9992730797189242
15258,0, 0, 0, 0, 1
15259,0.0001457238, 0.00019348542, 9.730472e-07, 0.001342442, 0.9807123818754543
15260,0, 0, 0, 0, 1
15261,2.3651752e-05, 1.3025855e-05, 1.8605868e-05, 5.8114554e-05, 0.9996123091834263
15262,6.5584565e-05, 6.0095055e-05, 1.4662918e-05, 0.00033251068, 0.996850012115338
15263,5.8118447e-05, 5.1269963e-05, 1.8599329e-05, 0.00017665657, 0.9996123091834263
15264,6.0258946e-05, 5.1183124e-05, 1.8577834e-05, 0.00017719358, 0.9995153864792827
